family,k,rep,gain,wins
MV,1,86,-1.1102230246251565e-16,2
MV,1,87,0.0693223191620631,3
MV,1,88,0.006378605176043162,5
MV,1,89,0.0012112396372134793,2
MV,1,90,0.009461128818938902,3
MV,1,91,-0.057229570834955834,5
MV,1,92,-0.06231606087760655,5
MV,1,93,-0.057229570834955834,5
MV,1,94,-1.1102230246251565e-16,2
MV,1,95,-0.08209381309960184,5
MV,1,96,-0.002355096165292836,6
MV,1,97,-0.031224164872829863,6
MV,1,98,-0.06487743948720703,5
MV,1,99,-1.1102230246251565e-16,2
MV,2,0,0.030495147297445846,4
MV,2,1,-0.013097542567294562,4
MV,2,2,-0.05332413151667359,6
MV,2,3,0.0008117212677959396,4
MV,2,4,-0.00023524314554035364,5
MV,2,5,0.005272067144434733,4
MV,2,6,-0.0550311643799678,6
MV,2,7,0.06902182889432551,3
MV,2,8,-0.03852928077086504,5
MV,2,9,-0.06445433017309488,6
MV,2,10,-0.056757515393212166,6
MV,2,11,0.007681460517988459,4
MV,2,12,0.0006252484947891768,2
MV,2,13,0.0030377732334724294,4
MV,2,14,-0.06780402929173168,6
MV,2,15,-0.056051224188966686,5
MV,2,16,0.06720764246131494,3
MV,2,17,-0.06804312149707004,6
MV,2,18,0.003420293121062401,4
MV,2,19,-1.1102230246251565e-16,2
MV,2,20,-0.0562662860134292,5
MV,2,21,-0.07567283413506776,6
MV,2,22,0.0019739658779563962,5
MV,2,23,-0.05894392649854574,6
MV,2,24,-0.06213771774274002,5
MV,2,25,0.004735999116717515,6
MV,2,26,-0.08138520863352783,5
MV,2,27,-0.07979465983524525,5
MV,2,28,-0.0682309168573616,6
MV,2,29,0.012056357476677548,4
MV,2,30,-0.05570100196375127,6
MV,2,31,-0.061303340129439166,6
MV,2,32,-0.08692516243126558,6
MV,2,33,-0.04742512270978139,5
MV,2,34,-0.02767486427030219,6
MV,2,35,-0.05798692451344334,6
MV,2,36,-0.04650450015594665,6
MV,2,37,0.013458491095851066,4
MV,2,38,0.0019954793260201775,4
MV,2,39,0.014477403985603376,4
MV,2,40,-0.059257313838160686,6
MV,2,41,0.015348122488469396,4
MV,2,42,-0.02387558858538963,5
MV,2,43,-0.024828297321084936,6
MV,2,44,-0.05392580017108961,6
MV,2,45,-0.056972298249785,6
MV,2,46,0.0623143000157631,3
MV,2,47,0.0623143000157631,3
MV,2,48,-0.0462350281394589,5
MV,2,49,-0.055854056231306015,6
