member,family,sigma,rho,breakeven,ratio
F05,other,7.002452481720265,0.7813229012878918,0.7477753456339254,1.0448631475346737
F06,strong,6.07951869030281,0.8078553401279523,0.8612953741150028,0.9379538824970921
F07,other,6.184772604201098,0.8202705752370498,0.8466376469923409,0.9688567218231324
F08,other,7.108305003369432,0.7617771388550113,0.7366399334752028,1.0341241415751385
F09,other,6.992741978508694,0.7658101541721309,0.7488137472963389,1.0226977762322862
F10,other,7.108623697784729,0.7785016572602398,0.7366069083717702,1.056875313565923
FC524,other,10.633304267769086,0.4971460668868655,0.4924397151575256,1.0095572139786377
FC58,other,10.633304267769086,0.4971460668868655,0.4924397151575256,1.0095572139786377
FDP24,other,10.62557590033355,0.4971047181110601,0.4927978844552922,1.0087395538650261
FDP8,other,10.62557590033355,0.4971047181110601,0.4927978844552922,1.0087395538650261
FK16,other,6.059726171382037,0.8692696702524242,0.8641085713629334,1.0059727435423425
FK24,other,6.059726171382037,0.8692696702524242,0.8641085713629334,1.0059727435423425
FK8,other,6.059726171382037,0.8692696702524242,0.8641085713629334,1.0059727435423425
FN16,other,10.641926386489486,0.49935043005708646,0.4920407391138538,1.014855865301717
FN24,other,10.641926386489486,0.49935043005708646,0.4920407391138538,1.014855865301717
FN8,other,10.641926386489486,0.49935043005708646,0.4920407391138538,1.014855865301717
GA,strong,6.169647030063903,0.822787545610622,0.8487132731075014,0.9694529020360971
GC0,other,6.059726171382037,0.8692696702524242,0.8641085713629334,1.0059727435423425
GC1,other,6.544324302682327,0.8012253771547292,0.800122531008636,1.0013783465698722
GC1L,other,10.904265570182636,0.506106475604514,0.48020302615536975,1.0539427034780144
GC2,other,6.896732070954072,0.7750214987879444,0.7592380378029014,1.0207885540491588
GC2L,other,11.034226306633684,0.4985130046678534,0.4745472114937061,1.0505024423148785
GS14,other,6.081643400737291,0.8668320056367788,0.8609944680690595,1.006779994278954
GS20,other,7.363126923458499,0.7632244789309592,0.711146416357578,1.0732311397139844
GS5,other,6.06329356092079,0.8694554665576751,0.8636001658491884,1.0067801060491102
GS7,other,6.063282544200872,0.8694549294187861,0.8636017349730217,1.006777654801663
H00,strong,6.049838781078625,0.8671581220104492,0.8655208038237902,1.0018917144214508
H01,strong,6.0660789369105,0.8762314858794756,0.8632036244932839,1.0150924544528406
H02,strong,6.108986615311003,0.8575456489863115,0.8571407427346175,1.0004723917922769
H03,strong,6.2376192895977445,0.8600172369733683,0.8394647191013784,1.0244828846339018
H04,other,6.194059766356875,0.8594846210465841,0.8453682273529776,1.0166985146080163
H05,other,6.071668410477527,0.8605191683184961,0.862408974075,0.9978086895970316
I00,strong,6.076158805983952,0.8707491145107625,0.8617716376416479,1.0104174661557472
I01,strong,6.059726171382037,0.8692696702524242,0.8641085713629334,1.0059727435423425
I02,strong,6.111483413688426,0.8718974530978157,0.8567905646402305,1.0176319500716358
I03,strong,6.06247609351973,0.8691093719217337,0.8637166141406524,1.0062436656801452
IA,other,7.661909292293268,0.7253767917347521,0.6834146849102486,1.061400651392228
IR120,strong,6.039675448773322,0.8450632102059925,0.8669772687648327,0.9747236065484615
IR15,strong,6.08253997788324,0.8616191193230875,0.8608675559623301,1.0008730301839721
IR240,strong,6.117425095570101,0.8443441193047538,0.855958388210641,0.9864312692464333
IR60,strong,6.078586495397167,0.8683820319167307,0.8614274599478869,1.0080733112098197
IT100,other,6.228439513737272,0.816938354814434,0.8407019628679958,0.9717336117873522
IT100L,other,10.7528737030672,0.49869458497322733,0.4869639009439769,1.0240894325154504
IT30,other,7.652012289858491,0.6866487461686407,0.6842986036161143,1.003434381628294
IT60,other,6.346244454602646,0.8346511202706379,0.8250960646506273,1.0115805371390985
IT60L,other,10.628305096078979,0.5196972136903645,0.4926713410527973,1.0548557839386703
IZ12,other,7.020185302863737,0.7890038478294242,0.7458864828920523,1.0578068726627026
IZ12L,other,10.633944941520593,0.501214968513401,0.49241004665713034,1.0178812798724264
IZ20,other,6.051869023434074,0.8730104167011083,0.8652304444342129,1.0089917920906988
IZ40,other,6.056736322612654,0.8702114791366102,0.8645351301251264,1.006565781786869
IZ8,other,7.225595920809932,0.7853577499128196,0.7246822797996386,1.083726995684173
J00,strong,6.055673026836446,0.8787717456928062,0.8646869310146678,1.016288918188703
J01,strong,6.182881572276551,0.8633360062084235,0.8468965907874421,1.0194113609616684
J02,strong,6.043042515032037,0.8749072958692501,0.8664942058207165,1.009709343688646
J03,strong,6.205632241826982,0.8527407379607693,0.8437917557392859,1.0106056762946716
J04,other,6.27138111118438,0.8511457313156955,0.8349454820191302,1.0194027629892535
J05,other,6.385884196668407,0.8377844957086077,0.8199743627570527,1.021720353416503
K00,other,6.125160090133243,0.8674324270001519,0.8548774640581849,1.0146862719744272
K01,other,6.1873419994161125,0.8743220077272342,0.8462860668276695,1.033128208059313
K02,other,6.209204116093655,0.8483667879688137,0.843306360509494,1.0060006987926218
K03,other,7.128982541566125,0.7951579318817967,0.7345033171666578,1.082579088885689
K15,other,7.975329115285353,0.6433535837154222,0.6565573970819334,0.9798893235759806
KC5,other,6.996275406596091,0.7412107707442909,0.7484355632808224,0.9903468075396349
KC5L,other,10.70807317140124,0.49614886634896566,0.4890012648389759,1.0146167341966763
KC5b,other,6.975281376611443,0.7485252483227414,0.7506881861943266,0.997118726641283
KC5bL,other,10.71712206923141,0.4977143497045535,0.4885883813749482,1.0186782344351368
KC5s,strong,6.096752469738713,0.8094256170326712,0.8588607378754085,0.9424410516598692
KC5w,other,7.563314045896589,0.7375805634676273,0.6923236683057473,1.0653695622924932
KDC,other,6.0734337912051855,0.8266997609373085,0.8621582954252391,0.9588723617506439
KDCL,other,10.691829596174077,0.4944941301175654,0.4897441806103264,1.0096988380777072
KDD,other,6.047109651681384,0.8647648219897368,0.865911423211514,0.9986758446752848
KDDL,other,10.708840740072516,0.4956106878555218,0.48896621510201416,1.0135888176898304
KDP,other,6.1478524587230705,0.8343224006952201,0.8517220216262475,0.9795712445032181
KDPL,other,10.706296861877416,0.49564083947962195,0.4890823963090912,1.0134096896965106
L00,strong,6.104055819589813,0.8739145715720866,0.8578331325212852,1.0187465818713901
L01,strong,6.104055819589813,0.8739145715720866,0.8578331325212852,1.0187465818713901
L02,other,6.0660789369105,0.8762314858794756,0.8632036244932839,1.0150924544528406
L03,other,6.104055819589813,0.8739145715720866,0.8578331325212852,1.0187465818713901
L04,other,6.2376192895977445,0.8600172369733683,0.8394647191013784,1.0244828846339018
L05,other,6.0660789369105,0.8762314858794756,0.8632036244932839,1.0150924544528406
LA08,lateral,9.687168320571944,0.5313073138132056,0.5405358048423333,0.9829271420200933
LA2,lateral,9.80273232704441,0.520883930497378,0.5341634505674887,0.9751395943395178
LA30,lateral,9.769377660675405,0.5211054767352703,0.5359871945457683,0.9722349377710232
LA4,lateral,9.891954205492768,0.5202967486636052,0.5293454878608251,0.9829057970555536
LAB,lateral,10.347355499705323,0.5293501224398366,0.5060482675938438,1.046046704115377
LAT,lateral,9.73755816926735,0.5296799849622988,0.5377386438963356,0.9850137998719126
LATK,other,8.03203521002231,0.6422114058846551,0.6519221078948639,0.9851045057490597
LAV,lateral,10.11834956023057,0.4926114779568711,0.5175015246937357,0.9519034330351107
L_ep6_3000_015,other,11.002922429183858,0.5440477849176715,0.47589732259812995,1.1432041305621947
L_gsp_3000_015,other,10.86965424678271,0.5855977706833645,0.4817320961569115,1.2156087903526809
L_mt12_2000_015,lateral,8.3759937769683,0.6420579405519118,0.6251510524281669,1.02704448478184
L_mt12_3000_008,other,8.365149788249338,0.6420198378365969,0.6259614540505863,1.025653949907134
L_mt12_3000_015,other,8.435719287644758,0.640291953976019,0.6207249371695804,1.031522846328136
L_mt12_3000_020,lateral,8.445813879932485,0.6402262575574864,0.6199830352933812,1.0326512519080882
L_mt12_3000_025,lateral,8.486758233215228,0.6389519795705323,0.6169919280026126,1.0355921213410537
L_mt12_4000_015,lateral,8.416384589347143,0.6428050733813275,0.6221509092432866,1.0331979971919711
L_mt25_2000_015,lateral,8.44541306720767,0.6226646709277903,0.6200124592052416,1.0042776748808377
L_mt25_3000_008,other,8.40897690258732,0.6215792403271678,0.6226989781827548,0.9982017991119004
L_mt25_3000_015,lateral,8.491725771564282,0.6196627699790327,0.6166309965328668,1.0049166737695845
L_mt25_3000_025,other,8.520259195887817,0.6188019330223268,0.6145659661774981,1.0068926154033158
L_mt25_4000_015,lateral,8.462918082535651,0.6254950594145419,0.6187300023155401,1.0109337789887094
L_mt60_2000_015,other,9.1032252363443,0.6371326582541826,0.5752094657504381,1.1076532918716095
L_mt60_3000_015,other,9.235933138226024,0.6372060365487828,0.5669444815631544,1.123930221160115
L_mtp_3000_015,other,9.890700110620328,0.6132550591303755,0.5294126064120551,1.1583688255679043
M00,other,6.102234851095328,0.873942440156179,0.8580891185896625,1.01847514578972
M01,other,6.076280917304929,0.8745946384726426,0.861754319141321,1.0149002088485222
M02,other,6.102234851095328,0.873942440156179,0.8580891185896625,1.01847514578972
M03,other,6.102234851095328,0.873942440156179,0.8580891185896625,1.01847514578972
M04,other,6.157104579586976,0.8660000137149252,0.8504421611033872,1.0182938397496106
M05,other,6.076280917304929,0.8745946384726426,0.861754319141321,1.0149002088485222
MC5b,other,10.71712206923141,0.4977143497045535,0.4885883813749482,1.0186782344351368
MDC,other,10.691829596174077,0.4944941301175654,0.4897441806103264,1.0096988380777072
MDD,other,10.708840740072516,0.4956106878555218,0.48896621510201416,1.0135888176898304
