w,rmsB,rmsP,move,n,gain
26,3.4155730107586644,1.6429829634246134,3.1849512490280203,7306,-1.772590047334051
27,4.287691801117696,1.5590817636884156,2.4576211577354843,5842,-2.7286100374292808
28,0.9062285421127922,1.5671403026510717,1.1752179355978505,3799,0.6609117605382795
29,4.352366517059111,4.880976673770749,2.8455185387789035,7240,0.5286101567116379
30,3.063009406661014,3.295599032554004,1.1907499791186684,3154,0.23258962589299026
31,7.401368008316108,1.370073050371984,5.933517146278103,4558,-6.031294957944125
32,7.041894619946788,13.323843887720587,6.786628476536254,6310,6.281949267773799
33,7.248563295626822,2.0944684650894874,6.146229911996979,6251,-5.154094830537334
34,5.824715489575046,5.984599872069883,1.6084297484363803,5620,0.1598843824948375
35,2.4383963247737577,0.43560438302856763,2.437844245604186,4606,-2.00279194174519
36,16.014511832951108,4.366516909725395,10.357723379757555,4474,-11.647994923225713
37,4.222978118396977,8.58667502023903,5.4995133394821885,4804,4.363696901842053
38,2.637127944546806,1.975570889967352,1.9555861717066159,5618,-0.661557054579454
39,13.476520869603444,8.517605663484261,4.400448244893737,4261,-4.958915206119183
40,36.18857153116433,8.641061960173204,25.632874448887872,4655,-27.547509570991124
41,2.6475594585938045,1.5151326819046405,1.907597963298954,5036,-1.132426776689164
42,3.2632955498927427,2.387786772084534,1.353542268552099,5328,-0.8755087778082089
43,8.738674015882701,2.8738789117980956,7.919850977308604,4911,-5.864795104084605
44,8.148252676008592,2.780437832596208,8.022482614311333,4641,-5.3678148434123845
45,4.596552169596404,3.051071250940579,4.261775773817624,5730,-1.5454809186558247
46,9.72212512858387,5.647387838778846,5.004636131227297,6958,-4.074737289805025
47,14.752863652049923,5.408912281008825,8.704736460375061,4805,-9.343951371041097
48,20.7631291161979,4.419990129001287,13.161266431088126,6535,-16.34313898719661
49,5.017183310476891,3.5835258250329844,4.994701164508216,5172,-1.4336574854439061
50,10.697560812378532,1.317681254329728,8.164448221853114,4690,-9.379879558048804
51,10.345866719922066,3.2383007021633143,7.701268991038666,4316,-7.107566017758751
52,2.9670517013764965,0.5201134549488512,2.29187780212099,3442,-2.4469382464276452
53,5.015123696340796,1.2059450867533958,5.109973395084961,6124,-3.8091786095874
54,3.065832281146914,3.4532247430823753,1.9022410951229123,4319,0.3873924619354612
55,2.1556318849138303,1.8525770165715767,1.899005033957472,2885,-0.3030548683422536
56,6.9966931277658615,6.292243557218682,1.916208096824657,4721,-0.7044495705471796
57,12.61104307673523,12.823942086272602,1.69213823411754,4837,0.21289900953737195
58,3.7708149524841694,5.047161025466177,2.526170920751546,4958,1.2763460729820073
59,4.787909760986145,2.8144586203071214,2.479671466510029,5766,-1.9734511406790238
60,2.335202029851031,1.380781738259395,2.11455840849507,2626,-0.9544202915916362
61,3.4724447261874607,4.452889167044873,1.7102370567323177,4290,0.9804444408574122
62,2.3610244148687274,1.5089477657959616,1.3824270785164343,5266,-0.8520766490727658
63,4.466978268658807,1.1214261874014353,3.1619870022979586,5587,-3.345552081257372
64,2.973323787184471,1.6018580357373486,1.3059331621809034,3431,-1.3714657514471225
66,8.497665027650237,4.479467281670123,5.057449302415386,4990,-4.018197745980114
67,2.9729107911304524,1.519527419727926,2.0409896077973633,4266,-1.4533833714025264
68,4.097625826546006,6.854733193279641,3.512758141423353,5203,2.757107366733635
69,1.4452026503676871,1.2958300872643091,1.063111469252728,4256,-0.149372563103378
70,4.826632948889394,6.756131903537758,2.9874323521693538,4210,1.9294989546483645
71,2.6148635719816586,2.209583327007842,1.3337245861350242,4790,-0.40528024497381665
72,10.239309392908527,0.9179641154667842,8.12422705279277,5500,-9.321345277441743
73,4.887603194942773,1.2570010241554976,3.7475385227252414,7338,-3.6306021707872755
74,5.107897871458314,4.03028093189976,1.4127631421617377,5331,-1.0776169395585535
75,6.189446211551184,2.8876843406569326,3.1463814652967317,5428,-3.3017618708942513
76,3.8235224560476935,0.9819624486299279,2.9317576382501596,5698,-2.8415600074177654
77,3.0663408883304846,2.1980412092038333,2.226228476573153,5556,-0.8682996791266513
78,3.1221261623640353,1.76329288541723,2.6193974104608984,3088,-1.3588332769468052
79,1.7948053414058756,0.5643673277205716,1.2817703373658804,2594,-1.230438013685304
80,3.101718197911583,1.437542269803606,1.7219101455740697,2174,-1.664175928107977
81,2.2770794901939277,1.4712505425968487,1.5171193902407087,5245,-0.805828947597079
82,4.621112183512149,2.3759777017925168,3.8814910921056507,6408,-2.245134481719632
83,4.251407825166989,2.7907391202281313,3.7800806169711763,4169,-1.460668704938858
84,11.103904648242937,2.06900538594992,9.155309799643623,5449,-9.034899262293017
85,3.6065387031573146,13.926935142076033,10.750389062293618,3595,10.320396438918719
86,3.636065345212334,4.995759003029172,4.59567326074767,6062,1.359693657816838
87,2.2451090928264104,0.80998709082192,1.416163598186991,4079,-1.4351220020044904
88,4.909824895533521,3.376193879653681,1.7626925461586318,4494,-1.5336310158798399
89,7.709489708477621,7.322442979561354,11.834893868377746,4991,-0.3870467289162667
90,5.812089547554562,4.009404446133814,4.890038217680296,9965,-1.8026851014207477
91,7.28894502934174,3.029449714271695,4.15452706560267,4367,-4.259495315070044
92,5.236795584495892,2.06407030301149,2.907439179634976,4798,-3.1727252814844022
93,27.068292885512808,9.732738609985866,16.44541373499737,6463,-17.335554275526942
94,9.134220700863661,6.872182524809473,3.1192385234086335,5452,-2.2620381760541886
