family,n,rep,gain,wins
strong,1,0,0.22393307483039138,2
strong,1,1,0.26487485243931375,0
strong,1,2,1.7630258844676006,0
strong,1,3,1.4754222666176722,0
strong,1,4,0.4369153829082896,1
strong,1,5,0.4335817298243181,1
strong,1,6,1.8125260919905744,0
strong,1,7,1.4754222666176722,0
strong,1,8,0.23237570998050028,0
strong,1,9,0.2693001560369457,0
strong,1,10,1.011313832961657,0
strong,1,11,0.8725186936383322,0
strong,1,12,0.27728006048981724,1
strong,1,13,1.8125260919905744,0
strong,1,14,0.26838688678742917,0
strong,1,15,0.39607823430778666,0
strong,1,16,0.27031668483940474,0
strong,1,17,0.26768255341218494,0
strong,1,18,0.38807060695801876,1
strong,1,19,0.4369153829082896,1
strong,1,20,0.3703179236292683,1
strong,1,21,1.7630258844676006,0
strong,1,22,1.1504743659741576,0
strong,1,23,0.36828828707294714,0
strong,1,24,1.8125260919905744,0
strong,1,25,0.24264717971411198,1
strong,1,26,0.18556584889545014,2
strong,1,27,1.4352765714511968,0
strong,1,28,0.47051757025383656,0
strong,1,29,0.2693001560369457,0
strong,1,30,0.47051757025383656,0
strong,1,31,0.18556584889545014,2
strong,1,32,1.7713440075148146,0
strong,1,33,0.4335817298243181,1
strong,1,34,0.3955431181256269,0
strong,1,35,0.40342764823412536,0
strong,1,36,0.2585032556007911,0
strong,1,37,0.4051341240824565,1
strong,1,38,0.26487485243931375,0
strong,1,39,0.26838688678742917,0
strong,1,40,0.2731375492376892,0
strong,1,41,1.7630258844676006,0
strong,1,42,0.5104401128702247,1
strong,1,43,0.36044561784762463,0
strong,1,44,0.25066423594275433,0
strong,1,45,0.26839229877616344,0
strong,1,46,0.3798413865715702,2
strong,1,47,1.7713440075148146,0
strong,1,48,1.8186460302262697,0
strong,1,49,1.6495062885979688,0
strong,1,50,0.38807060695801876,1
strong,1,51,0.28799453527999885,0
strong,1,52,0.34853797697657596,1
strong,1,53,0.26768255341218494,0
strong,1,54,0.25756201218606023,0
strong,1,55,0.36044561784762463,0
strong,1,56,0.28799453527999885,0
strong,1,57,0.3557970031426688,3
strong,1,58,0.24688085170321517,0
strong,1,59,1.6495062885979688,0
strong,1,60,0.8725186936383322,0
strong,1,61,0.27702957126517824,0
strong,1,62,0.34853797697657596,1
strong,1,63,0.3798413865715702,2
strong,1,64,0.8725186936383322,0
strong,1,65,0.3047116438205588,0
strong,1,66,0.18556584889545014,2
strong,1,67,1.4352765714511968,0
strong,1,68,0.6212162363725618,0
strong,1,69,0.26194059826090765,0
strong,1,70,1.4754222666176722,0
strong,1,71,0.5056623820661994,0
strong,1,72,0.8725186936383322,0
strong,1,73,0.3419387463673823,2
strong,1,74,0.28799453527999885,0
strong,1,75,0.36828828707294714,0
strong,1,76,1.011313832961657,0
strong,1,77,0.18556584889545014,2
strong,1,78,0.6212162363725618,0
strong,1,79,0.5104401128702247,1
strong,1,80,0.18556584889545014,2
strong,1,81,0.27031668483940474,0
strong,1,82,1.4754222666176722,0
strong,1,83,0.5407841351177329,0
strong,1,84,0.25503901989669364,0
strong,1,85,0.2325904958567091,1
strong,1,86,1.8125260919905744,0
