axis,in_sample,honest,wins,regions,ratio
shape channel,-0.0190160870552063,-0.03323853015899658,6,8,0.5721097462566126
MV family (4),-0.04507267475128174,-0.058819472789764404,6,8,0.76628831598649
MV family (all),-0.08545207977294922,-0.07623827457427979,6,8,1.1208553741558294
tail constant correction,-0.03561830520629883,-0.03829193115234375,5,8,0.9301778242677824
